,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
10,Global Technology Summer Analyst (Information Security / Cybersecurity) - 2024 - Singapore,"Bank of America
4.0",4.0,"1
What we’re looking for:
Penultimate year Undergraduate/Master’s student with outstanding academic achievement
Major in Computer Engineering, Computer Science, Information Systems, Business Analytics, or a related area
Strong quantitative and analytical skills
Effective verbal and written communication
Being comfortable with change and adjust to changing demands and requirements
Strong team player and client focused






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Great benefits is why I stay here"" (in 132 reviews)', '""Good work life balance most of the time"" (in 90 reviews)', '""Good working hours Good pay"" (in 105 reviews)', '""Good people."" (in 83 reviews)', '""Good culture for such a large company"" (in 60 reviews)']","['""Good Benefit, pay ok, start low, no comment"" (in 132 reviews)', '""Work life balance was absolutely terrible and was the reason I quit."" (in 90 reviews)', '""Low pay, not enough to live on if you are a single Mom in California"" (in 105 reviews)', '""Most people who actually work and do something are really good people."" (in 83 reviews)', '""bad culture, high pressure sales"" (in 60 reviews)']",10000+ Employees,1904,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
11,SOC Security Analyst,"UNIVERS PTE. LTD.
2.7",2.7,"A global AIoT software leader in Net Zero, Envision Digital is committed to becoming the world’s leading net zero technology partner for enterprises, governments, and cities to accelerate progress and improve their citizens’ quality of life.

EnOS™, Envision Digital’s proprietary AIoT operating system, connects and manages more than 110 million smart devices and 360 gigawatts of energy assets globally. Envision Digital’s growing ecosystem of more than 360 customers and partners spans 10 industries and includes Accenture, Amazon Web Services, GovTech Singapore, IBM, Keppel Corporation, Microsoft, Nissan, PTT, Solarvest, Total and ST Engineering. The company has close to 900 employees and 12 offices across the United Kingdom, France, Germany, the Netherlands, Norway, Japan, Thailand, China, and the United States, with headquarters in Singapore.







Show More
Report",Employer Provided Salary:$5K - $10K,Singapore,1.7,1.7,1.9,2.2,1.9,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,$1 to $5 million (USD),-1,-1,-1
12,SOC Security Analyst,"Continent8
3.2",3.2,"SOC Security Analyst

As part of our continued expansion, we are on the lookout for a SOC Security Analyst to join our Information Security Team. The Information Security Team is based in Singapore and is part of our IT organization under the direction of the CDO/ CIO.

The successful individual will take a lead role in the development of our security capabilities including our internal practices and integration of a security toolset used in capturing, analyzing, and responding to security threats. The primary objective will be to reduce operating risk and improve our security response.









Show More
Report",$42K - $132K (Glassdoor Est.),Tampines New Town,3.2,3.8,3.3,3.2,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
13,Cyber Security Analyst / Consultant,KRYJAS PRIVATE LIMITED,-1,"Experience of 5 -14 years
Degree in Computer Engineering, Computer Science, Information Systems, or equivalent qualification
At least 2-3 years of experience in cybersecurity with at least 2 years in handling cyber-security operations related work
Demonstrate experience in Information Security with a focus on Cyber Security Operations, Incident Response and Detection
Perform real-time analysis and trending of security log data from various security devices and systems
Maintain data sources feeding the log monitoring system, develop and maintain detection and alerting rules
Show More
Report",Employer Provided Salary:$7K - $12K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
14,"Associate Analyst, Products and Solutions, Launch Graduate Program 2024 - Singapore","Mastercard
4.3",4.3,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Associate Analyst, Products and Solutions, Launch Graduate Program 2024 - Singapore
Overview

Responsibilities

Experiences

All about you:

Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work/life balance"" (in 45 reviews)', '""Great benefits especially medical benefits which covered the family members."" (in 44 reviews)', '""The culture is great."" (in 50 reviews)', '""Competitive salary; pay that is comparable to or higher than the market value of a position"" (in 43 reviews)', '""Leadership is supportive"" (in 18 reviews)']","['""Hard to have work life balance"" (in 45 reviews)', '""Benefits could be better given the size of the company"" (in 44 reviews)', '""Low salary and micro managing"" (in 43 reviews)', '""Beaurocratic, aggressive leadership, lack of career development and feeling fulfilled"" (in 18 reviews)', -1]",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
15,Cyber Security Analyst,"ARYAN SOLUTIONS PTE. LTD.
3.9",3.9,"Job Description
You will be a member of the Cyber Security Team responsible for responding to threats and incidents to the corporate networks, systems (on-prem and cloud) and digital assets.

Key Responsibilities:
Perform security monitoring and incident response activities across the scoot networks, leveraging a variety of tools and techniques.
Detect incidents through proactive “hunting” across security-relevant data sets.
Ability to correlate multiple events from different devices to identify abnormal behaviour


Show More
Report",Employer Provided Salary:$4K - $6K,Singapore,4.0,3.3,3.9,4.0,4.2,"['""Company is taking good care of their employees and there is good work working environment."" (in 3 reviews)', '""Good place to learn and grow"" (in 2 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
16,Manual Software Tester (Analyst),GIENTECH SINGAPORE PTE. LTD.,-1,"Responsibilities:
Understand and analyze testing requirements to prepare test plan and test scripts.
Update and produce manual test script according to the business requirements.
Perform test execution, capturing and analyzing test results and work with respective teams to resolve the open defect etc.
Prepare the document and produce daily activities report.
Provides guidance and be hands-on to testing activities as well.
Coordinate and liaise with relevant parties for project related items.
Maintain relationship with project team and clients. Participate in team meetings.


Show More
Report",Employer Provided Salary:$3K - $7K,Singapore,3.1,2.3,3.0,2.9,3.5,"['""Everything else is good except Salary"" (in 5 reviews)', '""good company and nice colleague"" (in 3 reviews)', -1, -1, -1]","['""Less salary in this company"" (in 5 reviews)', '""company pays a really low insurance"" (in 2 reviews)', '""Working at GienTech offers opportunities for personal and professional growth, with access to ongoing training and development."" (in 2 reviews)', '""GienTech provides language services in a wide range of languages, allowing for exposure to diverse cultures and perspectives."" (in 1 reviews)', -1]",10000+ Employees,Contract,Unknown / Non-Applicable,-1,-1,-1
17,SOC Analyst,"Ensign InfoSecurity
3.7",3.7,"Ensign is hiring !
Evaluates, tests, monitors and maintains information systems (IS) and cyber security policies, procedures and systems I Creates, implements and oversees identity management systems to meet specific security needs and complex compliance standards | Ensures that IS and cyber security plans, controls, processes, standards, policies and procedures are aligned with IS standards and overall IS and cyber security | Identifies security risks and exposures, determines the causes of security violations and suggests procedures to halt future incidents and improve security | Develops techniques and procedures for conducting IS, cyber security and access and identity risk assessments and compliance audits, the evaluation and testing of hardware, firmware and software for possible impact on system security, and the investigation and resolution of security incidents such as intrusion, frauds, attacks or leaks |
Performs routine assignments in the entry level. Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices. Has no discretion to vary from established procedures by performing structured work assignments. Uses existing procedures to solve routine or standard problems. Receives instruction, guidance and direction from more senior level roles
Show More
Report",$42K - $132K (Glassdoor Est.),Old Kallang Airport Estate,3.2,3.4,3.3,3.0,3.0,"['""Decent pay but not industry standard Salary"" (in 13 reviews)', '""Easy to talk to management"" (in 9 reviews)', '""Colleagues are generally helpful"" (in 9 reviews)', '""Flexi Benefits for perm staff"" (in 6 reviews)', '""Many opportunities given to people who wants to do well"" (in 12 reviews)']","['""12 hour shift work with an average pay."" (in 13 reviews)', '""But when you asked management about literally anything at all, ""eh, i don\'t know that team very well"""" (in 9 reviews)', '""Micro management, junior colleagues, over promising and under delivering."" (in 9 reviews)', '""Not much opportunities to climb"" (in 12 reviews)', -1]",501 to 1000 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
18,"Associate Analyst Business Development, Launch Graduate Program 2024 - Singapore","Mastercard
4.3",4.3,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Associate Analyst Business Development, Launch Graduate Program 2024 - Singapore
Who is Mastercard?
We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of Priceless®. We ensure every employee has the opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.

The Mastercard Launch program is aimed at early career talent, to help you develop skills and gain cross-functional work experience. Over a period of 18 months, Launch participants will be assigned to a business unit, learn and develop skills, and gain valuable on the job experience. Successful candidates will be assigned to a business unit within International Markets and rotate for a duration of 2 x 9 months each for a total of 18 months.

Role Description and Major Responsibilities:

All about you:

Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Great benefits for staff and dependents"" (in 88 reviews)', '""Great culture and financially strong."" (in 115 reviews)', '""good work life balance"" (in 79 reviews)', '""Mastercard is an employer who cares for their employees and ensures their pay is competitive in the same industry."" (in 79 reviews)', '""Great people."" (in 47 reviews)']","['""Benefits progressively decline over time."" (in 88 reviews)', '""Poor work life balance"" (in 79 reviews)', '""Pay not competitive enough, no gym membership, no discounted share options for employees, medical cover limited"" (in 79 reviews)', '""Bringing people back into the office"" (in 47 reviews)', -1]",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
19,Cyber Security Analyst,Function One Pte. Ltd.,-1,"Role & Responsibilities:
To enforce global vulnerability management strategy, analyze vulnerability advisories published & support the remediation process.
Monitor security alerts triage, mitigate, and escalate issues as required.
To support regional cyber security program (which may include develop, maintain training content).
Embody security governance to review, maintain and enforce security policies, procedures, guidelines.
To perform security gaps/threat risk assessments with mitigation measures.
To participate the audit/risk assessment, and work with stake holders towards the closure/risk acceptance of findings.
Show More
Report",Employer Provided Salary:$8K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
20,Implementation Analyst,"Visa
4.1",4.1,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.







Show More
Report",$61K - $75K (Glassdoor Est.),Singapore,3.8,4.0,4.1,3.7,4.0,"['""Good benefit packages like Gym reimbursement"" (in 44 reviews)', '""Work life balance is good"" (in 27 reviews)', '""People are nice"" (in 27 reviews)', '""Amazing culture and professional growth potential"" (in 28 reviews)', '""Better pay and work life balance"" (in 30 reviews)']","['""Repetitive work, less growth potential, less benefits"" (in 44 reviews)', '""People are great but managers are iffy."" (in 27 reviews)', '""Culture is not good."" (in 28 reviews)', '""Wish you were able to get better pay."" (in 30 reviews)', -1]",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
21,Cyber Security Analyst,"WORLD PARTNERS SOLUTION PTE. LTD.
4.8",4.8,"The Cyber Security Analyst is responsible for:
Apprised of the current state of computer security in place in the organization
Technically proficient and up-to-date in basic computer security policies and practices
Proactive in preventing Cyber-Security Incident
To perform technical security assessment for IT & Network components - Vulnerability assessment, Penetration testing, Opportunistic Hacking,
Web application security testing, Security source code review etc.
To monitor and track the identified vulnerability, issues and fix detected vulnerabilities to maintain a high-security standard.


Show More
Report",Employer Provided Salary:$6K - $8K,Singapore,4.3,4.5,4.4,4.5,4.4,"['""CEO, HR, admin are great, they are very helpful and never try to make my life hard."" (in 2 reviews)', '""Salary is good, normal company to work with"" (in 1 reviews)', '""Good overall salary and supportive staff during hiring and working time"" (in 1 reviews)', '""Take care of staff welfare."" (in 1 reviews)', -1]","['""don\'t have additional benefit and no career progression"" (in 1 reviews)', -1, -1, -1, -1]",51 to 200 Employees,Contract,Unknown / Non-Applicable,-1,-1,-1
22,Security Analyst,"Singtel
3.9",3.9,"Security Analyst

Date: 6 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
At Singtel, our mission is to Empower Every Generation. We are dedicated to fostering an equitable and forward-thinking work environment where our employees experience a strong sense of Belonging, to make meaningful Impact and Grow both personally and professionally. By joining Singtel, you will be part of a caring, inclusive and diverse workforce that creates positive impact and a sustainable future for all.











Show More
Report",$85K - $108K (Glassdoor Est.),Singapore,3.8,3.5,3.7,3.6,3.7,"['""Good work life balance"" (in 26 reviews)', '""Good allowance policy apart from salary"" (in 28 reviews)', '""2. Good benefits"" (in 12 reviews)', '""Friendly colleagues."" (in 21 reviews)', '""Good place to learn Alotnof flexi leaves"" (in 24 reviews)']","['""No work life balance and too much of works"" (in 26 reviews)', '""Low salary Tiring shift Very hard tobget promoted"" (in 28 reviews)', '""Minimal benefits"" (in 12 reviews)', -1, -1]",10000+ Employees,1879,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
23,"Analyst, FP&A","Mastercard
4.3",4.3,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Analyst, FP&A
The financial analyst is responsible for supporting the Finance Business Partners for South East Asia across a broad spectrum of financial processes and strategic initiatives while assisting to manage and execute the corporate/regional reporting and planning requirements.

Role


All About You


Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good Benefits such as RRSP/Health/Dental"" (in 14 reviews)', '""Has good Work life balance"" (in 13 reviews)', '""Amazing culture, competitive compensation, work"" (in 14 reviews)', '""Great people to work with!"" (in 11 reviews)', '""Hours are good and the pay is decent."" (in 11 reviews)']","['""The contract can last up to 2 years with limited benefits like no PTO and no Holiday pay if you work on a holiday."" (in 14 reviews)', '""No work life balance, long working hours"" (in 13 reviews)', '""Bad culture without any team bonding, no method of proper on job training."" (in 14 reviews)', '""While there may be great people, there are pockets of negativity."" (in 11 reviews)', '""less pay in this company"" (in 11 reviews)']",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
24,IT Security Operations Analyst,"ZENITH INFOTECH (S) PTE LTD.
3.5",3.5,"Our client is seeking an experienced IT Security Operations Analyst to join our Infrastructure Operations team to support day-to-day operations by performing health checks and assessing risk impact for both infrastructure and applications.
The incumbent will be ensuring that security related incidents are appropriately addressed within agreed timeframe through prioritization, incident recording, recognition, escalation, resolution and follow-up.
Responsibilities:
You will perform regular security checks, monitor and document security incidents.
You will collaborate with technical teams to identify, resolve and mitigate events by implementing countermeasures.
Show More
Report",Employer Provided Salary:$6K - $9K,Singapore,3.7,3.3,3.3,2.5,3.2,"['""Reasonable package, acceptable benefits and offer refer bonus"" (in 1 reviews)', -1, -1, -1, -1]","['""No career progression, left alone in client site"" (in 1 reviews)', -1, -1, -1, -1]",201 to 500 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
25,"Security Operations Center Analyst, Associate","JPMorgan Chase & Co
4.1",4.1,"JOB DESCRIPTION

Working in cybersecurity takes passion for technology, speed, a desire to learn, and vigilance in order to keep every asset safe. You’ll be on the front lines of innovation, working with a highly motivated team focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products. Working with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop crimes and strengthen our data.
As a member of the Security Operations team, you will fit into a global team providing 24/7 monitoring and Incident Response, acting as the frontline for attacks against the firms’ infrastructure. As a shift analyst, your role will include monitoring alerts triggered from in-house bespoke signatures in a SIEM, start to finish case investigation, threat hunting, file analysis, as well as getting involved in projects that aim to improve the capability of the team. You’ll have opportunities to attend training and conferences that benefit the skillset of the team and your own. You’ll be encouraged to conduct your own hunting investigations and create rule logic to fill the gaps in monitoring that you identify or alert on upcoming threats you think may be targeted at the firm. The work you’ll do is vital, as it will protect over $18 trillion of assets under custody and $393 billion in deposits every day.


J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world’s most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



The Cybersecurity & Technology Controls group at JPMorgan Chase aligns the firm’s cybersecurity, access management, controls and resiliency teams. The group proactively and strategically partners with all lines of business and functions to enable them to design, adopt and integrate appropriate controls; deliver processes and solutions efficiently and consistently; and drive automation of controls. The group’s number one priority is to enable the business by keeping the firm safe, stable and resilient.

Show More
Report",$86K - $180K (Glassdoor Est.),Singapore,4.0,3.9,3.9,3.6,3.7,"['""JPMC offers great benefits overall."" (in 96 reviews)', '""Good work life balance"" (in 56 reviews)', '""Sucked but had good pay"" (in 99 reviews)', '""Good Experience, well management, good atmosphere"" (in 52 reviews)', '""Good culture &amp; benefits."" (in 43 reviews)']","['""The benefits could be better"" (in 96 reviews)', '""No work life balance"" (in 56 reviews)', '""low pay"" (in 99 reviews)', '""Lots of turnover and poor management"" (in 52 reviews)', '""A bit hectic culture considering US company."" (in 43 reviews)']",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
