,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
10,"Software Engineer (WFH, Remote)","Palazon Technology Pte Ltd
3.0",3.0,"We are looking for candidates to be involved in the design, development and management of an ERP platform in the retail industry. This role requires software engineer/senior software engineer.
Job Description:
Design and develop for customized software solution.
Provide quality deliverables in a fast-paced environments.
Learn and evaluate other new technologies/tools as needed.
Join project teams to work on full life-cycle web application projects - Requirement gathering, design, coding, deployment management, post-launch maintenance.
Requirements:
Show More
Report",Employer Provided Salary:$5K,Remote,2.9,2.9,3.0,3.0,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
11,Graduate Software Engineer,"Ascenda Loyalty
4.1",4.1,"Nice to Meet You! We are Ascenda
Ascenda provides the rewards infrastructure for leading financial services brands across the world.Our clients include the world’s largest banks, top tier card issuers and fintechs who utilise our rewards infrastructure to power their earn & burn rewards programs. These include American Express, CapitalOne, HSBC, Brex, Virgin Money, SMBC, ICBC, Bradesco, ANZ, HDFC and Top 10 financial services brands in many other countries.With a best-in-class technology suite and the world’s broadest rewards content marketplace, we are the engine behind winning premium rewards propositions for financial services all around the globe.Our clients are spread across continents, and we serve over 1 billion customers globally. No matter where you are in the world, you’ll recognize our footprint!We believe that nothing should stand in the way of companies who strive to drive growth via compelling and effortless rewards propositions that their customers love.








Show More
Report",$60K - $120K (Glassdoor Est.),Singapore,3.8,3.3,4.4,4.0,3.9,"['""Really chill and nice culture."" (in 5 reviews)', '""Everyone is helping each other."" (in 5 reviews)', '""Engineering leadership"" (in 4 reviews)', '""Great culture, Good managers, Fun team"" (in 3 reviews)', -1]","['""But the manager seems don\'t care."" (in 3 reviews)', '""No bonus"" (in 4 reviews)', -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
12,"Software Engineering Intern, 2024","Google
4.4",4.4,"Please complete your application before 06th October 2023.
Application details: Click the “Apply” button to submit your resume (a cover letter is not required). Please submit your resume in English and include your grade level and availability for the internship. We appreciate your patience while we consider your application. We will accommodate your school schedule when determining the start date and duration. This internship will run from May/Jun 2024 to Jul/Aug 2024, for a consecutive 10-12 weeks.

Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.
Minimum qualifications:
Currently pursuing a Bachelor's, Master's, or PhD degree in Computer Science, or a related technical field.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good fine and the work life balance is good"" (in 1284 reviews)', '""People are great and nice"" (in 1575 reviews)', '""good benefits and but this isn\'t as important now that we\'re not in the office"" (in 1145 reviews)', '""The base salary was good and they are very accepting of candidates with potential"" (in 1689 reviews)', '""Good work teams and culture"" (in 1426 reviews)']","['""Bad work life balance at google"" (in 1284 reviews)', '""Mostly people are rude and disgusting."" (in 1575 reviews)', '""Great benefits in a good location"" (in 1145 reviews)', '""they pay good salary and most of my team was so cooperative"" (in 1689 reviews)', '""Google has bad culture in the organization"" (in 1426 reviews)']",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
13,Frontend software Engineer - Growth,"TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

The Growth team plays a core role in acquisition, activation, and retention of billions of users, through our globally popular products such as TikTok, Resso, CapCut, Helo, etc. We are building platform foundation, leveraging data and ML models, and providing end-to-end solutions to power global growth. Typical Growth projects including creative generating, attribution, ads bot, etc.

Responsibilities
Qualifications
Job Requirements
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
14,Software Engineer,PEPPER INTERNET TECHNOLOGY PTE. LTD.,-1,"As a full stack back-end developer, we expect you to be familiar with one of Python/Java/Nodejs/Golang. Front-end skills are also welcomed such as HTML, CSS and Javascript. You should be able to develop effective and secure APIs in order to interact with front-end programs.
Previous experience in blockchain is hugely preferred. As a baseline, you should be extensively familiar with libraries/components in your programming language and MySQL database (other type of mainstream databases are also accepted) designing and optimising. You are also expected to be familiar with running the whole system on the infrastructure of Amazon AWS, i.e. all the configuration and optimization.
Show More
Report",Employer Provided Salary:$6K - $10K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
15,"Intern, AIoT Software Developer","Bosch Group
4.2",4.2,"Company Description

Robert Bosch (South East Asia) Pte Ltd is a regional subsidiary of the Bosch Group, representing the Group's interests in Southeast Asia where it is present in all ASEAN member countries. Business operations in these countries report to Robert Bosch (South East Asia) Pte Ltd, located in Singapore. Bosch has been present in Southeast Asia since 1919, with diversified businesses in the company's four business sectors - Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. Bosch's strategic objective is to improve quality of life with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”

Job Description

We are seeking highly motivated developers who are keen on developing awesome software features for customer solutions using AIOT and Digitalization technologies. Attending this internship will be an appealing and challenging experience that will provide you with deep insights into the exciting interplay of business and IT (Information Technology), and be part of a dynamic, fast paced and multicultureal team.




Show More
Report",-1,Bishan New Town,-1,-1,-1,-1,-1,"['""Good work life balance and cultural"" (in 98 reviews)', '""good salaries"" (in 117 reviews)', '""Good learning and Good culture"" (in 87 reviews)', '""Good management and Great projects"" (in 36 reviews)', '""Hike is reasonable and benefits are good."" (in 36 reviews)']","['""Depends on Team work life balance will be there"" (in 98 reviews)', '""Low salary, carrier development is moderate"" (in 117 reviews)', '""Poor work culture poor management"" (in 36 reviews)', '""Benefits were lacking compared to some competition."" (in 36 reviews)', -1]",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
16,"Backend software engineer, TikTok CLC","TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

Team intro:
CLC team intro
The UG CLC department aims to improve user retention as its main goal, focusing on optimizing user onboarding, and improving the product experience for new users. In addition, it is responsible for Tiktok core activation tools, such as Push, EDM, SMS, and 3rd channels, combined with algorithm strategies to reach users, increase user activity and DAU impact.

Responsibilities
Qualifications


1、Bachelor's degree or higher degree in Computer Science or related major, with 3+ years working experience.
Java, Go, C++, Python.
3、In depth knowledge of common databases and messaging frameworks like MySQL/Redis/Kafka/MQ etc.
4、Strong experience and ability in system problem analysis, able to solve complex system problems.
5、Experience in big data analysis technology is preferred.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
17,"Intern, Software Development","Philip Securities Pte Ltd.
3.5",3.5,"Project Scope and Duties:
Create tools/ dashboard for risk monitoring
Create other systems or platforms related to automation of processes
Requirements:
Degree in Information Technology, Computer Science, Mathematical Sciences or equivalent
Able to think strategically and creatively for problem solving
Able to think in an analytical manner
Possess good communication skills
Good understanding of object oriented programming (C#, C++, or Java), SQL, API development
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work culture."" (in 2 reviews)', '""Good bonus"" (in 1 reviews)', '""Exposed to a lot of new opportunities, friendly colleagues"" (in 2 reviews)', -1, -1]","['""No work life balance unless you prove urself to the management"" (in 5 reviews)', -1, -1, -1, -1]",1 to 50 Employees,2014,Company - Private,Investment & Asset Management,Finance,$5 to $25 million (USD)
18,Software Engineer (Web) - HC013,"Activate Interactive Pte Ltd
3.6",3.6,"Description
Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency.
We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation.
We are searching for our next team members to join our growing team.
Show More
Report",Employer Provided Salary:$9K,Geylang Serai,3.5,2.8,3.6,3.1,3.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
19,Software Support Engineer (Ignite Work-Study Diploma Programme),"NCS
3.6",3.6,"Will you be part of the extraordinary?
NCS’s mission is to bring people and technology together to make a real impact on communities. As a leading technology services firm, operating across Asia Pacific in over 20 cities, our diverse 12,000-strong workforce delivers large-scale, mission-critical projects for governments and enterprises locally and regionally. Our NEXT capabilities of digital, cloud, platforms as well as our core offerings in Applications, Infrastructure, Engineering, and Cyber Security provide end-to-end technology solutions and services to our clients.
Your role is only the beginning
At NCS, we pride ourselves on empowering our people and talent to their fullest potential. Learning together in our NCS DOJO, we have comprehensive, built-in training and industry standard qualifications that will allow you to up-skill and re-skill as we grow together.
Show More
Report",Employer Provided Salary:$2K,Singapore,3.5,3.3,3.4,3.3,3.2,"['""good work life balance"" (in 100 reviews)', '""Flexible and okay salary for a few years"" (in 135 reviews)', '""Good benefits and stable."" (in 66 reviews)', '""Flexible and friendly colleagues."" (in 84 reviews)', '""Good management overall"" (in 75 reviews)']","['""Did project delivery with long hours and no work life balance"" (in 100 reviews)', '""Low salary increment"" (in 135 reviews)', '""low benefit and not easy to promote"" (in 66 reviews)', '""will be very lucky if you get good colleagues"" (in 84 reviews)', '""bad management very micro manage"" (in 75 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
20,Software Engineer,Security & Intelligence Division,-1,"What the role is
You will develop software solutions that enhance SID’s capability to produce intelligence assessments. You will develop and maintain SID’s critical software, systems, and applications. You will need to adopt the industry’s best practices in your development of unique software products to support SID’s mission.
What you will be working on
Design, build, and maintain scalable software solutions to solve complex problems
Build new capabilities to enhance SID’s operations
Build and improve software architecture, data platforms, web applications, enterprise systems, and core infrastructure

If you are in a senior role, in addition to the above, you will also:


What you will gain:

Show More
Report",$60K - $129K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
21,Software Engineer,TXT TECHNICAL PTE. LTD.,-1,"Roles & Responsibilities

As a full stack back-end developer, we expect you to be familiar with one of Python/Java/Nodejs/Golang. Front-end skills are also welcomed such as HTML, CSS and Javascript. You should be able to develop effective and secure APIs in order to interact with front-end programs.

Previous experience in blockchain is hugely preferred. As a baseline, you should be extensively familiar with libraries/components in your programming language and MySQL database (other type of mainstream databases are also accepted) designing and optimising. You are also expected to be familiar with running the whole system on the infrastructure of Amazon AWS, i.e. all the configuration and optimization.
Show More
Report",Employer Provided Salary:$6K - $10K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
22,Software Engineer (AI Verify),IMD Info-communications Media Development Authority,-1,"Job Description
The AI Verify Foundation (AIVF) is a neutral, open-source platform which brings together individuals and companies to build better and safer AI. AIVF hosts and encourages development of the AI Verify Framework and Toolkit to enable the objective assessment of AI systems.
The Foundation is seeking a talented and meticulous Software Maintainer to manage our open source codebase.
Job Description
Manage the open source repositories, ensuring all codes are properly structured, tagged, and are in working order.
Create, track, manage, and engage the community on issues relating to the codebase, including bugs and feature requests.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
