,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
336,Senior AI Model Developer & Data Scientist,"UBS AG
3.9",3.9,Employer Provided Salary:$7K - $13K,Singapore,3.6,3.2,4.1,3.6,3.9,"['""Culture and exposure are good"" (in 137 reviews)', '""Great people at the company"" (in 90 reviews)', '""Good salary (compared to peers)"" (in 103 reviews)', '""Hours work life balance is good"" (in 74 reviews)', '""Good benefits and good employees!"" (in 41 reviews)']","['""Culture at office wasn\'t always great."" (in 137 reviews)', '""People are generally unmotivated in Operations; Wage is mediocre; Heavy workload"" (in 90 reviews)', '""low salary not forward"" (in 103 reviews)', '""Work life balance is good"" (in 74 reviews)', '""The base salary might be attractive, but there are little to no additional benefits in a place like this."" (in 41 reviews)']"
337,Data Modelling Scientist,"Robert Half Singapore
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"['""great people Learning the foundation of recruiting"" (in 15 reviews)', '""Great trainings and the pay was not bad at all."" (in 12 reviews)', '""Work from home, great virtual office team mates and team leader, my virtual co"" (in 8 reviews)', '""Easy managers to work with!"" (in 4 reviews)', -1]","['""no benefits and no health care"" (in 17 reviews)', '""lower pay since it is a staffing company"" (in 12 reviews)', '""those are the nice managers I spoke of."" (in 4 reviews)', -1, -1]"
338,Head of Data & Analytics Innovation,"PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED
3.8",3.8,Employer Provided Salary:$12K - $17K,Singapore,3.8,3.8,3.8,3.4,3.6,"['""Great employer to work for"" (in 4 reviews)', '""WFH arrangement , work life balance"" (in 3 reviews)', '""Good office location, great benefits"" (in 2 reviews)', -1, -1]","['""Not much bonding with colleagues"" (in 3 reviews)', '""Horrible culture, loads of politics"" (in 3 reviews)', -1, -1, -1]"
339,Junior Machine Learning Intern,"Cynapse
3.5",3.5,Employer Provided Salary:$1K - $3K,Queenstown Estate,3.7,2.9,3.7,3.3,3.5,"['""Average pay but comes with increments"" (in 7 reviews)', '""Good work life balance"" (in 3 reviews)', '""Great working environment"" (in 3 reviews)', '""strong management"" (in 2 reviews)', -1]","['""Low pay, over worked, management do not work well with engineers."" (in 7 reviews)', '""no work life balance"" (in 3 reviews)', '""Management can be improved and team leads should be technically proficient enough"" (in 2 reviews)', '""Lack of structure in top management means lot of flip"" (in 2 reviews)', -1]"
340,"Associate, Artificial Intelligence of Investments","LION GLOBAL INVESTORS LIMITED
3.7",3.7,Employer Provided Salary:$4K - $6K,Singapore,3.7,3.6,3.5,3.6,3.9,"['""Collegial with approachable colleagues and department heads."" (in 6 reviews)', '""Good work life balance."" (in 2 reviews)', '""Good Hr benefits and many days leave"" (in 3 reviews)', '""Pay and Bonus are reasonable"" (in 2 reviews)', -1]","['""Local culture and not for someone who have entrepreneurs mindset"" (in 3 reviews)', -1, -1, -1, -1]"
341,"Assistant Director (Data Engineer), Applications of Teaching and Learning Analytics for Students","Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""good equipment and some good people to learn from."" (in 6 reviews)', '""Though courses are challenging they are extremely fun to learn"" (in 8 reviews)', '""My manager is a good guy"" (in 1 reviews)', -1, -1]","['""Low pay, can’t trade fish"" (in 10 reviews)', '""Some courses can be challenging."" (in 8 reviews)', '""Culture is too focused on academics."" (in 4 reviews)', -1, -1]"
342,Research Assistant (Statistics and Data Science),"National University of Singapore
4.1",4.1,$64K - $98K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""the salary is good as well"" (in 366 reviews)', '""Good work life balance and you get to manage your own progression"" (in 323 reviews)', '""Colleague are friendly and helpful."" (in 109 reviews)', '""Good benefits and welfare perks"" (in 151 reviews)', -1]","['""Low salary and hard to be promoted"" (in 366 reviews)', '""No work life balance."" (in 323 reviews)', '""Always have lazy colleagues."" (in 109 reviews)', '""No career progression for engineering and management track."" (in 224 reviews)', '""No benefits really"" (in 151 reviews)']"
343,Data Science Intern to Perm,BIOQUEST ADVISORY PTE. LTD.,-1,Employer Provided Salary:$1K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
344,AI Engineer,"TALEO CONSULTING PTE. LTD.
4.4",4.4,Employer Provided Salary:$5K - $13K,Singapore,4.2,4.0,4.5,4.2,4.3,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
345,"Senior Data Scientist, Analytics","Airwallex
3.4",3.4,$100K - $180K (Glassdoor Est.),Singapore,3.5,3.5,3.0,2.9,3.0,"['""Very good life work balance"" (in 3 reviews)', '""If you can embrace changing and solving problems, it\'s a good place to learn and grow"" (in 1 reviews)', '""Can work with experienced and smart people coming from different industries, not only finance industry"" (in 1 reviews)', -1, -1]","['""Company culture: my last firm has very strong and iconic company culture, Airwallex can do better in term of team culture and value"" (in 3 reviews)', '""existent benefit and bonus"" (in 2 reviews)', -1, -1, -1]"
346,Research Engineer II (Machine Learning),"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""A lot of money for research and good salaries"" (in 230 reviews)', '""Work life balance is good"" (in 198 reviews)', '""Good working environment"" (in 198 reviews)', '""NTU has advanced facilities for research and friendly colleagues."" (in 74 reviews)', -1]","['""low salary and very comeptitive"" (in 230 reviews)', '""No work life balance"" (in 198 reviews)', '""No career progression due to contract nature"" (in 164 reviews)', '""Average working environment, too many people"" (in 198 reviews)', '""Colleagues are easy to work with"" (in 74 reviews)']"
347,"Manager (Data Scientist), SCALE - Corporate Services","National University of Singapore
4.1",4.1,$64K - $98K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""the salary is good as well"" (in 366 reviews)', '""Good work life balance and you get to manage your own progression"" (in 323 reviews)', '""Colleague are friendly and helpful."" (in 109 reviews)', '""Good benefits and welfare perks"" (in 151 reviews)', -1]","['""Low salary and hard to be promoted"" (in 366 reviews)', '""No work life balance."" (in 323 reviews)', '""Always have lazy colleagues."" (in 109 reviews)', '""No career progression for engineering and management track."" (in 224 reviews)', '""No benefits really"" (in 151 reviews)']"
348,Research Engineer (Machine Learning),"National University of Singapore
4.1",4.1,$48K - $60K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""the salary is good as well"" (in 366 reviews)', '""Good work life balance and you get to manage your own progression"" (in 323 reviews)', '""Colleague are friendly and helpful."" (in 109 reviews)', '""Good benefits and welfare perks"" (in 151 reviews)', -1]","['""Low salary and hard to be promoted"" (in 366 reviews)', '""No work life balance."" (in 323 reviews)', '""Always have lazy colleagues."" (in 109 reviews)', '""No career progression for engineering and management track."" (in 224 reviews)', '""No benefits really"" (in 151 reviews)']"
349,AI Engineer (Natural Language Processing)-AI Singapore,"National University of Singapore
4.1",4.1,$14K - $52K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""good working environment and people are very helpful"" (in 14 reviews)', '""Good Work life balance"" (in 16 reviews)', '""friendly colleagues"" (in 9 reviews)', -1, -1]","['""Fixed salary for years and years, not attractive at all"" (in 12 reviews)', '""career Progression and future prospects"" (in 11 reviews)', -1, -1, -1]"
